    93 2.75467 0.14264  0.15452   7.78 -10.12   516 1272 Gefion       
  8334 2.78515 0.13306  0.15849  12.95   0.04   516 1272 Gefion       
  8440 2.77988 0.12451  0.15160  12.97  -0.12   516 1272 Gefion       
  8451 2.77330 0.12958  0.15623  13.51  -0.26   516 1272 Gefion       
  8469 2.80201 0.12863  0.15891  12.78   0.63   516 1272 Gefion       
  8511 2.77091 0.12749  0.16081  12.90  -0.42   516 1272 Gefion       
  8533 2.76270 0.12863  0.15940  12.88  -0.70   516 1272 Gefion       
  8565 2.78993 0.12231  0.15343  12.87   0.20   516 1272 Gefion       
  8659 2.78315 0.13334  0.15655  12.60  -0.02   516 1272 Gefion       
  8819 2.78233 0.13551  0.15988  13.44  -0.04   516 1272 Gefion       
  9173 2.79266 0.13544  0.15809  12.48   0.35   516 1272 Gefion       
  9312 2.80885 0.13721  0.15892  12.64   0.93   516 1272 Gefion       
  9447 2.75257 0.12045  0.15578  13.01  -0.98   516 1272 Gefion       
  9511 2.76850 0.12698  0.16135  13.02  -0.48   516 1272 Gefion       
  9662 2.76576 0.13750  0.15951  13.51  -0.45   516 1272 Gefion       
 10064 2.72939 0.14708  0.16140  11.91  -2.82   516 1272 Gefion       
 10118 2.80706 0.13607  0.15880  12.74   0.82   516 1272 Gefion       
 10222 2.77205 0.13626  0.15772  12.73  -0.42   516 1272 Gefion       
 10245 2.78156 0.13448  0.15827  12.99  -0.07   516 1272 Gefion       
 10335 2.79342 0.12649  0.15734  13.43   0.25   516 1272 Gefion       
 10511 2.78099 0.13132  0.15998  12.54  -0.11   516 1272 Gefion       
 10649 2.81265 0.12769  0.15576  14.19   0.52   516 1272 Gefion       
 10665 2.79845 0.12949  0.15572  13.19   0.42   516 1272 Gefion       
 10913 2.79255 0.13891  0.15868  12.56   0.34   516 1272 Gefion       
 11065 2.78488 0.12686  0.15773  12.20   0.05   516 1272 Gefion       
 11199 2.76276 0.12784  0.16172  12.79  -0.73   516 1272 Gefion       
 11322 2.72385 0.10226  0.16100  13.97  -1.20   516 1272 Gefion       
 11368 2.79127 0.13333  0.15926  12.79   0.26   516 1272 Gefion       
 11508 2.78360 0.13307  0.15882  12.85   0.00   516 1272 Gefion       
 11661 2.78753 0.12264  0.15608  13.30   0.10   516 1272 Gefion       
 11721 2.77498 0.14047  0.15972  13.59  -0.21   516 1272 Gefion       
 12275 2.76335 0.12729  0.16153  12.57  -0.78   516 1272 Gefion       
 12279 2.77098 0.13022  0.16030  12.46  -0.52   516 1272 Gefion       
 12381 2.76958 0.13529  0.15888  13.24  -0.40   516 1272 Gefion       
 12436 2.78637 0.13297  0.15978  12.86   0.09   516 1272 Gefion       
 12503 2.75744 0.13698  0.15859  13.98  -0.53   516 1272 Gefion       
 12598 2.73856 0.12376  0.15450  13.94  -0.92   516 1272 Gefion       
 12754 2.77494 0.12402  0.16015  12.50  -0.35   516 1272 Gefion       
 12809 2.78258 0.12971  0.15664  12.68  -0.04   516 1272 Gefion       
 12813 2.78039 0.13217  0.15939  13.62  -0.08   516 1272 Gefion       
 12886 2.76451 0.13622  0.15723  13.13  -0.57   516 1272 Gefion       
 13175 2.80002 0.12559  0.15068  13.94   0.33   516 1272 Gefion       
 13338 2.77496 0.12716  0.16052  12.68  -0.32   516 1272 Gefion       
 13749 2.79009 0.12433  0.15262  12.82   0.21   516 1272 Gefion       
 13801 2.75278 0.11994  0.16043  13.35  -0.83   516 1272 Gefion       
 13960 2.77349 0.13642  0.15973  13.56  -0.25   516 1272 Gefion       
 14128 2.77204 0.12421  0.15866  13.10  -0.35   516 1272 Gefion       
 14269 2.79510 0.12932  0.15759  12.68   0.41   516 1272 Gefion       
 14656 2.72391 0.09216  0.15953  12.97  -1.91   516 1272 Gefion       
 14938 2.79033 0.13244  0.15964  12.32   0.28   516 1272 Gefion       
 14941 2.76118 0.12483  0.15958  14.16  -0.42   516 1272 Gefion       
 15000 2.76577 0.14466  0.15956  14.04  -0.35   516 1272 Gefion       
 15067 2.79909 0.12989  0.15751  13.24   0.43   516 1272 Gefion       
 15142 2.76961 0.12699  0.15967  12.86  -0.48   516 1272 Gefion       
 15212 2.78844 0.13064  0.15682  12.87   0.15   516 1272 Gefion       
 15216 2.80970 0.12654  0.15763  14.82   0.35   516 1272 Gefion       
 15523 2.77524 0.13049  0.15797  13.17  -0.25   516 1272 Gefion       
 15643 2.77413 0.12685  0.15810  13.35  -0.26   516 1272 Gefion       
 15702 2.73595 0.09169  0.15816  12.91  -1.57   516 1272 Gefion       
 15840 2.78758 0.13046  0.15739  13.06   0.12   516 1272 Gefion       
 15961 2.78244 0.12555  0.15605  13.23  -0.04   516 1272 Gefion       
 16055 2.77065 0.12611  0.15948  13.24  -0.37   516 1272 Gefion       
 16138 2.76600 0.13711  0.15790  13.40  -0.46   516 1272 Gefion       
 16140 2.77052 0.13629  0.15901  13.30  -0.36   516 1272 Gefion       
 16148 2.79147 0.13671  0.15881  13.23   0.22   516 1272 Gefion       
 16176 2.80520 0.13246  0.15848  13.03   0.66   516 1272 Gefion       
 16184 2.78300 0.12996  0.15932  12.76  -0.03   516 1272 Gefion       
 16188 2.76874 0.12374  0.15748  13.23  -0.43   516 1272 Gefion       
 16283 2.76588 0.13502  0.15945  13.92  -0.37   516 1272 Gefion       
 16344 2.81529 0.12555  0.15765  13.77   0.69   516 1272 Gefion       
