"spkid","pdes","diameter","a","albedo","e","i"
20000314,314,60.689,3.16,0.043,0.1709,12.51
20000315,315,6.534,2.242,0.217,0.1682,2.43
20000316,316,56.067,3.184,0.061,0.1276,2.35
20000317,317,18.648,2.286,0.926,0.0860,1.77
20000318,318,85,3.199,0.054,0.0858,10.65
20000319,319,49.943,3.409,0.085,0.2143,10.56
20000320,320,23.362,3.012,0.155,0.1155,9.39
20000321,321,27.974,2.886,0.425,0.0471,2.58
20000322,322,69.855,2.784,0.089,0.2442,8.05
20000323,323,27.714,2.382,0.295,0.2997,24.26
20000324,324,220.691,2.682,0.050,0.3406,11.10
20000325,325,75.72,3.218,0.1068,0.1510,8.57
20000326,326,93.00,2.319,0.0368,0.1898,23.70
20000327,327,30.291,2.777,0.214,0.0631,7.13
20000328,328,145.680,3.11,0.025,0.1077,16.13
20000329,329,81.057,2.477,0.039,0.0262,15.88
20000330,330,9.111,2.469,0.256,0.2518,6.76
20000331,331,74.92,3.027,0.0447,0.0954,6.04
20000332,332,40.37,2.773,0.1719,0.0910,2.84
20000333,333,72.199,3.13,0.047,0.1598,3.74
20000334,334,198.770,3.936,0.041,0.0243,4.65
20000335,335,97.109,2.475,0.049,0.1718,5.10
20000336,336,63.356,2.253,0.054,0.0947,5.65
20000337,337,64.549,2.383,0.135,0.1370,7.86
20000338,338,50.506,2.913,0.276,0.0177,6.04
20000339,339,44.329,3.01,0.198,0.1019,9.96
20000340,340,28.025,2.746,0.247,0.1179,4.67
20000341,341,15.830,2.199,0.425,0.1946,5.67
20000342,342,64.266,2.568,0.035,0.1301,7.35
20000343,343,18.213,2.411,0.092,0.2297,3.26
20000344,344,124.181,2.597,0.067,0.3139,18.35
20000345,345,90.243,2.325,0.052,0.0614,9.74
20000346,346,86.447,2.795,0.332,0.1029,8.76
20000347,347,48.615,2.613,0.190,0.1638,11.69
20000348,348,82.82,2.967,0.0448,0.0721,9.76
20000349,349,139.77,2.925,0.3840,0.0887,8.25
20000350,350,128.729,3.11,0.048,0.1610,24.91
20000351,351,39.720,2.764,0.286,0.1567,9.21
20000352,352,26.744,2.194,0.195,0.1492,3.38
20000353,353,14.025,2.736,0.392,0.3276,5.71
20000354,354,148.970,2.8,0.201,0.1118,18.36
20000355,355,24.040,2.537,0.341,0.1066,4.29
20000356,356,145.503,2.755,0.065,0.2421,8.20
20000357,357,124.107,3.148,0.037,0.0777,15.06
20000358,358,90.116,2.877,0.050,0.1519,3.55
20000359,359,43.89,2.729,0.2621,0.1560,6.77
20000360,360,129.125,3.005,0.043,0.1738,11.74
20000361,361,154.334,3.984,0.038,0.2115,12.57
20000362,362,98,2.578,0.052,0.0447,8.06
20000363,363,97,2.746,0.059,0.0731,5.95
20000364,364,25.901,2.22,0.300,0.1493,6.01
20000365,365,86.773,2.803,0.050,0.1555,12.80
20000366,366,86.368,3.15,0.091,0.0585,10.57
20000367,367,21.243,2.219,0.393,0.0952,2.94
20000368,368,69.277,3.073,0.038,0.2052,7.79
20000369,369,73.767,2.648,0.127,0.0986,12.73
20000370,370,38.093,2.324,0.065,0.0904,7.86
20000371,371,52.976,2.726,0.234,0.0627,7.40
20000372,372,173.642,3.162,0.059,0.2526,23.78
20000373,373,98.695,3.121,0.040,0.1374,15.38
20000374,374,44.67,2.78,0.3014,0.0801,8.99
20000375,375,216,3.128,0.037,0.1025,15.94
20000376,376,35.465,2.288,0.321,0.1725,5.43
20000377,377,90.346,2.691,0.060,0.0753,6.68
20000378,378,27.831,2.776,0.339,0.1297,7.01
20000379,379,84.787,3.143,0.046,0.1792,1.67
20000380,380,67.508,2.681,0.066,0.1139,6.16
20000381,381,127.639,3.235,0.064,0.0879,12.58
20000382,382,65.209,3.132,0.129,0.1668,7.39
20000383,383,43.482,3.138,0.040,0.1687,2.66
20000384,384,34.435,2.653,0.192,0.1454,5.59
20000385,385,85.837,2.848,0.242,0.1268,13.58
20000386,386,165.01,2.897,0.0692,0.1692,20.22
20000387,387,100.51,2.737,0.1900,0.2380,18.15
20000388,388,125.754,3.004,0.042,0.0651,6.45
20000389,389,74.378,2.608,0.225,0.0663,8.12
20000390,390,25.688,2.652,0.268,0.1319,12.14
20000391,391,15.751,2.32,0.290,0.3052,23.20
20000392,392,60.750,2.886,0.173,0.1383,14.32
20000393,393,116.191,2.783,0.022,0.3316,14.84
20000394,394,29.970,2.761,0.294,0.2281,6.22
20000395,395,44.189,2.789,0.033,0.0832,3.36
20000396,396,39.242,2.741,0.126,0.1593,2.55
20000397,397,49.032,2.635,0.139,0.2475,12.87
20000398,398,49.771,2.737,0.054,0.2245,9.56
20000399,399,39.566,3.051,0.311,0.0769,13.11
20000400,400,36.001,3.126,0.112,0.1158,10.53
20000401,401,87.803,3.347,0.052,0.0307,5.96
20000402,402,55.421,2.56,0.164,0.1119,11.84
20000403,403,53.574,2.811,0.173,0.0981,9.16
20000404,404,94.970,2.592,0.037,0.2015,14.10
20000405,405,108.894,2.584,0.018,0.2435,11.94
20000406,406,46.266,2.917,0.060,0.1778,4.19
20000407,407,95.07,2.624,0.0548,0.0705,7.52
20000408,408,35.620,3.163,0.221,0.1463,9.09
20000409,409,171.012,2.575,0.054,0.0732,11.29
20000410,410,118.929,2.724,0.043,0.2405,10.96
20000411,411,76.53,2.934,0.0831,0.1142,15.35
20000412,412,96.056,2.762,0.044,0.0410,13.78
20000413,413,34.242,2.583,0.129,0.3422,18.74
20000414,414,88.760,3.502,0.027,0.0743,9.56
20000415,415,83.560,2.791,0.063,0.3007,8.22
20000416,416,85.47,2.794,0.1689,0.2192,12.84
20000417,417,54.874,2.799,0.072,0.1353,6.65
20000418,418,40.330,2.594,0.201,0.1184,6.82
20000419,419,148.701,2.596,0.034,0.2523,3.93
20000420,420,138.699,3.422,0.044,0.0216,6.71
20000421,421,14.119,2.542,0.172,0.2826,7.79
20000422,422,10.714,2.228,0.716,0.2143,4.99
20000423,423,175.859,3.066,0.067,0.0341,11.24
20000424,424,102.565,2.772,0.027,0.1097,8.22
20000425,425,67.925,2.886,0.042,0.0571,4.05
20000426,426,137.562,2.887,0.040,0.1064,19.50
20000427,427,32.193,2.973,0.205,0.1187,5.13
20000428,428,20.184,2.308,0.069,0.1784,6.19
20000429,429,69.62,2.606,0.0430,0.1244,9.54
20000430,430,31.702,2.851,0.054,0.2504,14.55
20000431,431,101.900,3.142,0.055,0.1711,1.83
20000432,432,46.90,2.37,0.2338,0.1453,12.12
20000433,433,16.84,1.458,0.25,0.2227,10.83
20000434,434,8.934,1.944,0.726,0.0740,22.51
20000435,435,34.792,2.45,0.118,0.1545,1.82
20000436,436,58.609,3.199,0.060,0.0704,18.51
20000437,437,13.373,2.386,0.677,0.2493,7.35
20000438,438,58.871,2.554,0.061,0.0673,7.37
20000439,439,70.421,3.132,0.027,0.0672,19.13
20000440,440,13.600,2.21,0.630,0.1071,1.60
20000441,441,65.131,2.805,0.204,0.0822,8.16
20000442,442,62.171,2.345,0.044,0.0706,6.07
20000443,443,25.504,2.216,0.210,0.0398,4.23
20000444,444,159.331,2.771,0.051,0.1735,10.27
20000445,445,87.812,3.195,0.044,0.1979,21.32
20000446,446,53.562,2.787,0.317,0.1247,10.62
20000447,447,85.224,2.984,0.061,0.0458,4.80
20000448,448,50.534,3.134,0.052,0.1869,12.73
20000449,449,85.59,2.551,0.0393,0.1736,3.08
20000450,450,37.038,3.016,0.094,0.0976,10.13
20000451,451,253.900,3.064,0.085,0.0698,15.21
20000452,452,11.563,2.849,0.252,0.0117,3.23
20000453,453,23.985,2.184,0.137,0.1084,5.55
20000454,454,81.743,2.627,0.055,0.1117,6.29
20000455,455,88.792,2.656,0.033,0.2945,12.02
20000456,456,37.713,2.783,0.286,0.1833,14.49
20000457,457,18.739,3.095,0.208,0.1710,12.97
20000458,458,36.698,2.991,0.191,0.2433,12.66
