,id,m,c_param,fam_num,par_num,name,pdes,H,diameter,albedo,rot_per,BV,UB,IR,spec_B,spec_T,e,a,q,i
493,82652,15.11,-0.4,516,1272,Gefion,82652,15.56,2.448,0.224,,,,,,,0.1182,2.749,2.424,10.22
494,82704,15.08,0.3,516,1272,Gefion,82704,15.42,,,,,,,,,0.1134,2.808,2.49,8.05
495,82790,14.35,-0.83,516,1272,Gefion,82790,14.72,3.597,0.237,,,,,,,0.0891,2.735,2.491,8.78
496,82810,14.67,-0.15,516,1272,Gefion,82810,15.0,,,,,,,,,0.1426,2.772,2.377,7.89
497,82832,14.36,0.23,516,1272,Gefion,82832,14.81,,,,,,,,,0.1348,2.796,2.419,9.44
498,82942,14.28,-0.34,516,1272,Gefion,82942,14.76,,,,,,,,,0.1015,2.764,2.483,8.12
499,82998,14.84,0.29,516,1272,Gefion,82998,15.18,,,,,,,,,0.1104,2.805,2.496,9.18
500,83194,14.74,-0.59,516,1272,Gefion,83194,15.02,,,,,,,,,0.088,2.742,2.501,10.05
501,83215,14.7,0.27,516,1272,Gefion,83215,15.08,,,,,,,,,0.1151,2.801,2.478,8.56
502,83410,14.21,-0.48,516,1272,Gefion,83410,14.61,3.914,0.167,,,,,,,0.1047,2.757,2.469,9.23
503,83533,14.52,-0.2,516,1272,Gefion,83533,14.95,3.286,0.312,,,,,,,0.1091,2.771,2.469,8.05
504,83606,14.1,0.12,516,1272,Gefion,83606,14.52,3.782,0.283,,,,,,,0.1433,2.791,2.391,8.51
505,83756,14.83,0.14,516,1272,Gefion,83756,15.3,,,,,,,,,0.1091,2.792,2.488,9.43
506,83963,14.72,-0.17,516,1272,Gefion,83963,15.1,3.909,0.08,9.469,,,,,,0.1534,2.776,2.35,9.13
507,84547,14.9,-0.57,516,1272,Gefion,84547,15.3,,,,,,,,,0.09,2.74,2.493,9.72
508,84549,14.8,0.0,516,1272,Gefion,84549,15.31,,,,,,,,,0.0941,2.782,2.52,7.77
509,84665,14.44,-1.01,516,1272,Gefion,84665,14.85,3.077,0.296,,,,,,,0.1504,2.723,2.314,8.35
510,84844,14.91,-0.24,516,1272,Gefion,84844,15.31,,,,,,,,,0.0978,2.768,2.497,8.15
511,84916,14.5,-0.23,516,1272,Gefion,84916,14.92,3.111,0.241,,,,,,,0.1302,2.768,2.408,10.26
512,84936,15.32,-0.52,516,1272,Gefion,84936,15.6,,,,,,,,,0.1511,2.734,2.321,8.64
513,85159,13.96,0.31,516,1272,Gefion,85159,14.43,,,,,,,,,0.1229,2.798,2.455,8.23
514,85960,15.12,-0.45,516,1272,Gefion,85960,15.52,4.702,0.066,,,,,,,0.0837,2.747,2.517,8.1
515,86904,14.66,-0.43,516,1272,Gefion,86904,15.06,3.262,0.166,,,,,,,0.1492,2.756,2.345,9.45
516,87163,14.84,-0.88,516,1272,Gefion,87163,15.34,,,21.0606,,,,,,0.1479,2.718,2.316,10.48
517,87617,13.71,-0.81,516,1272,Gefion,87617,14.15,,,10.224,,,,,,0.1401,2.746,2.361,8.63
518,87749,14.84,-0.42,516,1272,Gefion,87749,15.26,,,67.3359,,,,,,0.1464,2.751,2.348,9.46
519,87825,15.13,-0.57,516,1272,Gefion,87825,15.59,,,,,,,,,0.1263,2.733,2.388,9.02
520,87843,15.06,-0.46,516,1272,Gefion,87843,15.38,,,,,,,,,0.0959,2.746,2.483,8.99
521,87852,14.33,-0.48,516,1272,Gefion,87852,14.82,3.553,0.243,54.0801,,,,,,0.1268,2.754,2.405,10.27
522,87887,14.82,-0.4,516,1272,Gefion,87887,15.37,,,5.7773,,,,,,0.1138,2.754,2.44,8.36
523,87901,14.47,-0.39,516,1272,Gefion,87901,14.88,,,,,,,,,0.0943,2.759,2.499,8.01
524,87949,13.97,0.0,516,1272,Gefion,87949,14.3,,,,,,,,,0.0948,2.787,2.522,9.89
525,88017,14.4,0.21,516,1272,Gefion,88017,14.76,7.473,0.046,,,,,,,0.122,2.796,2.455,7.99
526,88049,15.03,0.06,516,1272,Gefion,88049,15.36,,,,,,,,,0.1481,2.787,2.375,8.13
527,88380,14.4,-0.21,516,1272,Gefion,88380,14.9,6.849,0.06,,,,,,,0.1468,2.77,2.363,8.04
528,88603,14.28,-0.44,516,1272,Gefion,88603,14.81,3.473,0.279,,,,,,,0.153,2.759,2.337,9.09
529,88678,15.1,-0.78,516,1272,Gefion,88678,15.6,,,,,,,,,0.1144,2.719,2.408,9.23
530,88700,14.59,-0.05,516,1272,Gefion,88700,15.16,5.856,0.062,,,,,,,0.104,2.779,2.49,8.23
531,88714,14.05,0.09,516,1272,Gefion,88714,14.54,3.937,0.198,,,,,,,0.1284,2.787,2.429,9.39
532,89118,15.36,-0.67,516,1272,Gefion,89118,15.7,,,,,,,,,0.128,2.72,2.372,9.83
533,89254,14.26,-0.63,516,1272,Gefion,89254,14.65,6.641,0.07,,,,,,,0.1161,2.749,2.43,10.36
534,89337,14.8,0.02,516,1272,Gefion,89337,15.38,,,,,,,,,0.1228,2.786,2.444,8.57
535,89444,15.68,-0.63,516,1272,Gefion,89444,16.11,,,,,,,,,0.1323,2.715,2.355,8.22
536,89506,14.98,-0.51,516,1272,Gefion,89506,15.33,,,,,,,,,0.1,2.743,2.469,7.9
537,89667,14.64,0.0,516,1272,Gefion,89667,15.12,,,,,,,,,0.134,2.783,2.41,7.87
538,90148,14.82,-0.21,516,1272,Gefion,90148,15.1,,,3.276,,,,,,0.0922,2.767,2.512,10.13
539,90249,14.83,-0.11,516,1272,Gefion,90249,15.25,,,,,,,,,0.1112,2.78,2.471,10.37
540,90261,14.49,-0.13,516,1272,Gefion,90261,15.01,,,,,,,,,0.1284,2.78,2.423,10.43
541,90381,14.88,-0.38,516,1272,Gefion,90381,15.25,,,,,,,,,0.1355,2.756,2.382,9.86
542,90550,15.0,0.04,516,1272,Gefion,90550,15.27,,,,,,,,,0.1011,2.786,2.504,9.77
543,90647,15.09,-0.37,516,1272,Gefion,90647,15.55,5.174,0.06,,,,,,,0.142,2.75,2.36,8.03
544,90673,14.85,-0.19,516,1272,Gefion,90673,15.22,2.722,0.314,,,,,,,0.1353,2.77,2.395,10.24
545,90745,14.9,-0.45,516,1272,Gefion,90745,15.35,2.508,0.308,,,,,,,0.1428,2.75,2.357,8.91
546,90885,14.63,-0.18,516,1272,Gefion,90885,15.21,,,,,,,,,0.1268,2.771,2.42,8.3
547,91541,14.66,-0.48,516,1272,Gefion,91541,15.12,,,,,,,,,0.1481,2.75,2.343,8.34
548,91569,14.82,-0.19,516,1272,Gefion,91569,15.26,3.172,0.231,,,,,,,0.0968,2.77,2.502,8.99
549,91585,14.35,-0.51,516,1272,Gefion,91585,14.79,3.054,0.329,,,,,,,0.1519,2.755,2.337,10.42
550,91798,14.89,-0.32,516,1272,Gefion,91798,15.33,2.624,0.281,,,,,,,0.1266,2.761,2.411,8.09
551,92052,14.22,0.04,516,1272,Gefion,92052,14.68,,,,,,,,,0.1454,2.786,2.381,9.43
552,92876,13.44,-0.03,516,1272,Gefion,92876,13.88,4.752,0.311,,,,,,,0.0916,2.783,2.528,9.69
553,93264,14.87,0.02,516,1272,Gefion,93264,15.34,,,,,,,,,0.085,2.787,2.55,7.5
554,93270,14.37,-0.69,516,1272,Gefion,93270,14.78,3.156,0.256,3.373,,,,,,0.0948,2.743,2.483,7.75
555,93299,15.2,-0.7,516,1272,Gefion,93299,15.64,2.261,0.239,,,,,,,0.118,2.722,2.401,9.74
556,93476,15.3,-0.61,516,1272,Gefion,93476,15.8,2.172,0.236,,,,,,,0.1412,2.728,2.343,9.78
557,93606,14.59,-0.66,516,1272,Gefion,93606,14.93,,,,,,,,,0.1313,2.738,2.378,8.54
558,93800,15.23,-0.69,516,1272,Gefion,93800,15.68,2.114,0.274,,,,,,,0.1398,2.724,2.343,10.38
559,93908,15.15,-0.62,516,1272,Gefion,93908,15.54,2.237,0.294,,,,,,,0.1457,2.731,2.333,8.35
560,93913,13.68,-1.37,516,1272,Gefion,93913,14.11,3.829,0.399,,,,,,,0.1419,2.726,2.339,9.85
561,93927,14.18,-0.19,516,1272,Gefion,93927,14.59,3.94,0.238,,,,,,,0.1196,2.773,2.442,9.23
562,93929,14.71,0.19,516,1272,Gefion,93929,14.98,,,,,,,,,0.0885,2.798,2.55,10.1
563,93975,13.48,0.15,516,1272,Gefion,93975,13.96,4.83,0.275,,,,,,,0.0908,2.79,2.537,8.87
564,94060,15.15,-0.8,516,1272,Gefion,94060,15.63,,,,,,,,,0.1282,2.717,2.368,8.4
565,94229,14.47,0.28,516,1272,Gefion,94229,14.88,3.071,0.325,17.7319,,,,,,0.1091,2.802,2.496,9.59
566,95120,14.46,0.0,516,1272,Gefion,95120,14.98,,,,,,,,,0.0883,2.785,2.539,9.97
567,95206,14.59,-0.04,516,1272,Gefion,95206,14.96,,,,,,,,,0.0962,2.78,2.512,7.95
568,95349,14.77,-0.5,516,1272,Gefion,95349,15.18,,,,,,,,,0.0931,2.746,2.491,7.63
569,95355,14.32,-0.35,516,1272,Gefion,95355,14.85,3.468,0.28,229.853,,,,,,0.0934,2.763,2.505,8.07
570,95479,14.92,0.12,516,1272,Gefion,95479,15.33,,,,,,,,,0.0937,2.793,2.531,8.4
571,95481,15.12,-0.34,516,1272,Gefion,95481,15.46,,,,,,,,,0.0919,2.755,2.502,7.82
572,95610,15.05,-0.02,516,1272,Gefion,95610,15.47,2.511,0.233,,,,,,,0.0998,2.783,2.505,8.87
573,95644,14.9,0.35,516,1272,Gefion,95644,15.39,2.811,0.223,,,,,,,0.1074,2.809,2.508,9.23
574,95646,14.61,-0.42,516,1272,Gefion,95646,14.96,,,,,,,,,0.0836,2.755,2.525,8.18
575,95799,14.99,0.32,516,1272,Gefion,95799,15.33,,,,,,,,,0.1502,2.812,2.389,9.67
576,96389,14.92,0.06,516,1272,Gefion,96389,15.22,,,,,,,,,0.1038,2.793,2.503,8.04
577,96968,14.73,-0.09,516,1272,Gefion,96968,14.93,2.546,0.248,,,,,,,0.1149,2.779,2.46,7.61
578,96974,15.05,-0.72,516,1272,Gefion,96974,15.51,5.55,0.048,3.478,,,,,,0.1494,2.727,2.319,7.54
579,96994,14.7,-0.45,516,1272,Gefion,96994,15.09,,,,,,,,,0.0852,2.752,2.517,8.17
580,96999,15.04,-0.33,516,1272,Gefion,96999,15.41,2.491,0.18,,,,,,,0.1358,2.759,2.384,8.08
581,97149,14.84,0.38,516,1272,Gefion,97149,15.32,,,,,,,,,0.0989,2.814,2.536,9.54
582,97295,14.48,0.03,516,1272,Gefion,97295,14.98,,,,,,,,,0.1541,2.787,2.358,8.15
583,97298,14.85,0.23,516,1272,Gefion,97298,15.07,2.632,0.255,,,,,,,0.117,2.803,2.475,8.74
584,97325,14.89,-0.74,516,1272,Gefion,97325,15.36,,,,,,,,,0.0884,2.728,2.487,10.62
585,97327,15.02,-0.45,516,1272,Gefion,97327,15.48,,,,,,,,,0.1171,2.749,2.427,8.08
586,97388,14.72,-0.22,516,1272,Gefion,97388,15.14,2.8,0.297,,,,,,,0.1107,2.768,2.462,10.39
587,98675,14.76,-0.44,516,1272,Gefion,98675,15.15,2.824,0.221,6.421,,,,,,0.1484,2.753,2.345,10.08
588,98834,14.89,-0.26,516,1272,Gefion,98834,15.34,2.377,0.376,,,,,,,0.12,2.765,2.433,7.74
589,98844,14.9,-0.25,516,1272,Gefion,98844,15.28,2.591,0.24,,,,,,,0.0987,2.766,2.493,8.67
590,98949,14.46,-0.69,516,1272,Gefion,98949,14.95,6.933,0.053,,,,,,,0.11,2.742,2.44,10.55
591,98978,14.25,-0.34,516,1272,Gefion,98978,14.62,3.722,0.243,8.198,,,,,,0.1426,2.765,2.371,9.97
592,99242,14.86,0.14,516,1272,Gefion,99242,15.2,2.614,0.283,,,,,,,0.0911,2.794,2.539,9.96
593,99493,14.34,0.46,516,1272,Gefion,99493,14.74,,,,,,,,,0.1418,2.808,2.41,8.9
594,101053,15.01,-0.77,516,1272,Gefion,101053,15.61,,,,,,,,,0.138,2.722,2.347,8.49
595,101209,15.47,-0.28,516,1272,Gefion,101209,15.77,,,,,,,,,0.0931,2.755,2.499,9.17
596,101376,15.77,0.02,516,1272,Gefion,101376,15.95,,,,,,,,,0.1437,2.788,2.387,9.48
597,101687,15.18,-0.3,516,1272,Gefion,101687,15.46,,,,,,,,,0.0969,2.757,2.49,8.13
598,101817,14.37,-1.08,516,1272,Gefion,101817,14.77,3.087,0.294,,,,,,,0.1443,2.72,2.327,10.46
599,101843,14.3,-0.04,516,1272,Gefion,101843,14.69,,,,,,,,,0.1122,2.781,2.469,9.81
600,103270,14.79,-0.43,516,1272,Gefion,103270,15.35,,,,,,,,,0.096,2.75,2.486,8.09
601,103396,14.73,-0.44,516,1272,Gefion,103396,15.22,,,,,,,,,0.1512,2.755,2.338,7.79
602,103417,14.85,-0.27,516,1272,Gefion,103417,15.3,,,,,,,,,0.135,2.765,2.392,8.43
603,103458,15.01,-0.28,516,1272,Gefion,103458,15.37,,,,,,,,,0.1002,2.761,2.484,9.15
604,103591,15.34,0.0,516,1272,Gefion,103591,15.69,,,,,,,,,0.1046,2.785,2.493,9.83
605,103613,15.24,-0.51,516,1272,Gefion,103613,15.56,,,,,,,,,0.1042,2.737,2.452,7.92
606,103629,14.44,-0.52,516,1272,Gefion,103629,14.81,2.843,0.346,,,,,,,0.1061,2.752,2.46,9.28
607,103663,15.01,-0.58,516,1272,Gefion,103663,15.38,5.019,0.07,,,,,,,0.1167,2.735,2.416,9.44
608,103818,15.36,-0.45,516,1272,Gefion,103818,15.89,,,,,,,,,0.1455,2.742,2.343,10.04
609,103860,15.13,-0.33,516,1272,Gefion,103860,15.56,,,,,,,,,0.132,2.755,2.392,9.34
610,104197,14.35,-1.11,516,1272,Gefion,104197,14.81,,,,,,,,,0.0926,2.716,2.465,9.8
611,104213,14.76,-0.73,516,1272,Gefion,104213,15.16,,,,,,,,,0.0897,2.73,2.486,9.8
612,104230,15.17,0.16,516,1272,Gefion,104230,15.49,,,,,,,,,0.1006,2.796,2.515,9.27
613,104344,15.48,-0.17,516,1272,Gefion,104344,15.89,,,,,,,,,0.0993,2.766,2.491,9.56
614,104359,15.05,-0.15,516,1272,Gefion,104359,15.37,,,,,,,,,0.103,2.771,2.486,9.61
615,104375,14.55,0.24,516,1272,Gefion,104375,14.85,3.311,0.255,,,,,,,0.1052,2.8,2.505,10.04
616,104687,15.15,0.0,516,1272,Gefion,104687,15.57,,,,,,,,,0.0858,2.784,2.546,8.28
617,105111,14.76,-0.33,516,1272,Gefion,105111,15.32,,,,,,,,,0.1428,2.765,2.37,8.12
618,105412,14.55,-0.57,516,1272,Gefion,105412,14.87,,,,,,,,,0.1431,2.746,2.353,8.38
619,105454,14.9,0.27,516,1272,Gefion,105454,15.19,,,,,,,,,0.1315,2.806,2.437,8.7
620,107260,14.91,-0.25,516,1272,Gefion,107260,15.26,2.427,0.273,,,,,,,0.1007,2.765,2.487,8.19
621,107767,15.03,-0.31,516,1272,Gefion,107767,15.49,2.581,0.242,,,,,,,0.093,2.758,2.502,9.35
622,108257,14.21,0.39,516,1272,Gefion,108257,14.63,3.706,0.245,,,,,,,0.1556,2.806,2.369,9.87
623,108304,14.61,0.37,516,1272,Gefion,108304,14.92,2.652,0.331,7.591,,,,,,0.1173,2.809,2.48,10.37
624,108361,14.83,-0.64,516,1272,Gefion,108361,15.22,6.141,0.059,,,,,,,0.1492,2.735,2.327,9.95
625,108500,14.75,-0.41,516,1272,Gefion,108500,15.21,2.883,0.204,,,,,,,0.1344,2.754,2.384,10.68
626,108514,15.23,-0.29,516,1272,Gefion,108514,15.58,,,,,,,,,0.0943,2.757,2.497,10.17
627,108703,15.74,-0.51,516,1272,Gefion,108703,15.99,,,,,,,,,0.1103,2.727,2.426,9.78
628,109109,15.34,-0.68,516,1272,Gefion,109109,15.58,,,,,,,,,0.1114,2.721,2.418,10.0
629,109199,14.47,-0.26,516,1272,Gefion,109199,14.94,3.315,0.279,,,,,,,0.1256,2.768,2.421,8.54
630,109320,14.87,-0.73,516,1272,Gefion,109320,15.35,2.447,0.295,,,,,,,0.1533,2.73,2.311,9.02
631,109576,15.28,-0.35,516,1272,Gefion,109576,15.51,,,,,,,,,0.1168,2.752,2.431,10.12
632,109636,14.94,-0.34,516,1272,Gefion,109636,15.38,,,,,,,,,0.1511,2.757,2.34,10.26
633,109875,14.45,0.39,516,1272,Gefion,109875,14.82,2.699,0.291,,,,,,,0.1516,2.808,2.383,9.19
634,109909,14.11,0.02,516,1272,Gefion,109909,14.46,4.026,0.25,4.276122,,,,,,0.0922,2.784,2.527,8.84
635,110177,15.29,-0.66,516,1272,Gefion,110177,15.65,2.391,0.214,,,,,,,0.1218,2.724,2.392,9.74
636,110212,14.65,0.25,516,1272,Gefion,110212,15.03,,,3.403,,,,,,0.101,2.8,2.517,9.75
637,110221,15.04,0.22,516,1272,Gefion,110221,15.54,5.609,0.051,,,,,,,0.0914,2.802,2.545,9.35
638,110385,15.04,-0.11,516,1272,Gefion,110385,15.62,,,,,,,,,0.1002,2.774,2.496,8.46
639,110419,14.67,-0.12,516,1272,Gefion,110419,15.29,,,,,,,,,0.1427,2.776,2.38,7.96
640,110630,14.1,-1.11,516,1272,Gefion,110630,14.57,3.481,0.305,,,,,,,0.0835,2.726,2.499,10.28
641,110644,14.55,0.12,516,1272,Gefion,110644,15.1,2.791,0.328,28.645,,,,,,0.1491,2.794,2.377,8.24
642,110651,14.68,-0.2,516,1272,Gefion,110651,15.2,,,,,,,,,0.0958,2.771,2.505,8.46
643,110680,14.98,-0.03,516,1272,Gefion,110680,15.5,,,,,,,,,0.1502,2.78,2.363,9.81
644,110693,14.91,-0.65,516,1272,Gefion,110693,15.35,,,,,,,,,0.1011,2.738,2.461,8.65
645,110708,14.82,-0.49,516,1272,Gefion,110708,15.26,2.814,0.268,6.487,,,,,,0.1473,2.752,2.346,10.25
646,110751,14.82,0.21,516,1272,Gefion,110751,15.33,2.698,0.266,,,,,,,0.124,2.798,2.451,9.02
647,110940,14.31,-0.85,516,1272,Gefion,110940,14.75,,,,,,,,,0.1095,2.734,2.435,9.99
648,110945,15.34,-0.38,516,1272,Gefion,110945,15.68,,,,,,,,,0.1432,2.752,2.358,10.06
649,111007,14.25,-0.45,516,1272,Gefion,111007,14.68,3.649,0.253,6.783,,,,,,0.1289,2.758,2.403,10.15
650,111041,14.97,-0.71,516,1272,Gefion,111041,15.36,,,,,,,,,0.103,2.727,2.446,10.14
651,111075,15.0,-0.78,516,1272,Gefion,111075,15.55,,,,,,,,,0.1241,2.723,2.385,9.19
652,111093,15.03,0.0,516,1272,Gefion,111093,15.44,2.812,0.204,,,,,,,0.1104,2.784,2.477,8.52
653,111163,15.29,0.23,516,1272,Gefion,111163,15.59,,,,,,,,,0.1284,2.804,2.444,8.07
654,111271,14.98,0.26,516,1272,Gefion,111271,15.37,,,,,,,,,0.0925,2.803,2.544,8.42
655,111280,15.32,-0.31,516,1272,Gefion,111280,15.67,,,,,,,,,0.1234,2.754,2.414,8.48
656,111340,14.66,0.42,516,1272,Gefion,111340,14.98,,,,,,,,,0.0871,2.813,2.568,10.17
657,111435,14.75,0.11,516,1272,Gefion,111435,15.22,3.519,0.172,,,,,,,0.1268,2.792,2.438,8.07
658,111458,15.42,0.06,516,1272,Gefion,111458,15.62,,,,,,,,,0.1165,2.79,2.465,9.29
659,111465,14.58,0.32,516,1272,Gefion,111465,15.08,,,,,,,,,0.1036,2.805,2.514,9.95
660,111561,15.23,0.03,516,1272,Gefion,111561,15.63,,,,,,,,,0.0848,2.789,2.552,8.81
661,112181,14.93,-0.4,516,1272,Gefion,112181,15.38,2.995,0.18,,,,,,,0.0882,2.754,2.511,7.85
662,112439,14.39,-0.77,516,1272,Gefion,112439,14.94,3.1,0.319,,,,,,,0.1514,2.736,2.322,7.88
663,112482,14.94,-0.6,516,1272,Gefion,112482,15.27,,,,,,,,,0.118,2.736,2.413,10.15
664,112955,15.32,-0.12,516,1272,Gefion,112955,15.84,,,,,,,,,0.1355,2.772,2.397,8.94
665,113177,15.63,-0.55,516,1272,Gefion,113177,15.98,,,,,,,,,0.1066,2.724,2.434,9.24
666,113271,15.49,-0.42,516,1272,Gefion,113271,15.76,,,,,,,,,0.1274,2.74,2.391,8.28
667,113365,14.82,0.04,516,1272,Gefion,113365,15.16,,,,,,,,,0.1346,2.787,2.411,9.57
668,113476,14.6,-0.24,516,1272,Gefion,113476,14.88,3.714,0.203,,,,,,,0.1387,2.767,2.383,10.18
669,113810,14.83,-0.74,516,1272,Gefion,113810,15.23,,,,,,,,,0.0835,2.728,2.501,9.58
670,114024,15.67,-0.09,516,1272,Gefion,114024,15.85,,,,,,,,,0.0902,2.773,2.523,8.32
671,114262,15.02,-0.6,516,1272,Gefion,114262,15.27,,,,,,,,,0.1523,2.735,2.319,10.43
672,114274,15.1,-0.63,516,1272,Gefion,114274,15.6,,,,,,,,,0.1502,2.731,2.321,8.76
673,114380,14.95,-0.29,516,1272,Gefion,114380,15.33,,,,,,,,,0.1551,2.76,2.332,9.69
674,114389,15.17,-0.31,516,1272,Gefion,114389,15.52,,,,,,,,,0.0937,2.758,2.5,7.91
675,114636,14.83,0.13,516,1272,Gefion,114636,15.17,,,,,,,,,0.0853,2.796,2.557,9.22
676,115225,14.45,-0.63,516,1272,Gefion,115225,14.73,3.334,0.276,,,,,,,0.135,2.745,2.375,10.05
677,115324,14.85,-0.34,516,1272,Gefion,115324,15.01,,,,,,,,,0.1409,2.759,2.37,9.72
678,115640,15.23,0.2,516,1272,Gefion,115640,15.66,,,,,,,,,0.1365,2.803,2.421,8.61
679,115675,15.08,-0.4,516,1272,Gefion,115675,15.42,,,,,,,,,0.1416,2.751,2.362,8.91
680,115856,15.4,-0.62,516,1272,Gefion,115856,15.71,,,,,,,,,0.1488,2.723,2.318,10.4
681,116578,14.93,-0.69,516,1272,Gefion,116578,15.41,2.522,0.278,,,,,,,0.1266,2.73,2.384,8.49
682,116748,15.42,0.24,516,1272,Gefion,116748,15.82,,,,,,,,,0.1348,2.805,2.427,9.81
683,116966,15.04,-0.17,516,1272,Gefion,116966,15.42,,,,,,,,,0.121,2.774,2.438,9.35
684,117258,14.49,-0.47,516,1272,Gefion,117258,14.78,3.51,0.207,,,,,,,0.1303,2.753,2.394,10.11
685,117275,14.88,-0.38,516,1272,Gefion,117275,15.19,2.578,0.221,,,,,,,0.0863,2.755,2.517,8.44
686,117621,15.48,0.22,516,1272,Gefion,117621,15.68,,,,,,,,,0.1106,2.808,2.497,10.1
687,117728,15.06,-0.63,516,1272,Gefion,117728,15.45,,,,,,,,,0.0966,2.731,2.467,10.04
688,117757,15.33,-0.2,516,1272,Gefion,117757,15.54,,,,,,,,,0.1089,2.764,2.463,10.04
689,118685,14.98,-0.67,516,1272,Gefion,118685,15.32,,,113.813,,,,,,0.1526,2.729,2.312,9.92
690,118967,14.5,-0.4,516,1272,Gefion,118967,15.02,3.223,0.296,,,,,,,0.0975,2.759,2.49,10.03
691,119684,15.48,-0.56,516,1272,Gefion,119684,15.83,,,,,,,,,0.1145,2.728,2.416,8.15
692,120110,15.03,-0.47,516,1272,Gefion,120110,15.53,,,,,,,,,0.0853,2.746,2.512,9.83
693,120322,15.72,-0.52,516,1272,Gefion,120322,16.03,,,,,,,,,0.0984,2.725,2.457,10.08
694,120835,14.83,-0.29,516,1272,Gefion,120835,15.11,,,,,,,,,0.089,2.761,2.515,10.31
695,120881,14.64,-0.06,516,1272,Gefion,120881,15.03,,,,,,,,,0.1296,2.779,2.419,9.14
696,121269,14.52,0.04,516,1272,Gefion,121269,14.96,,,3.299,,,,,,0.1258,2.784,2.434,8.33
697,121540,14.46,-0.11,516,1272,Gefion,121540,14.86,,,,,,,,,0.1487,2.776,2.364,10.05
698,122494,14.6,-0.75,516,1272,Gefion,122494,14.91,3.15,0.257,,,,,,,0.1473,2.735,2.332,8.64
699,122618,14.16,0.5,516,1272,Gefion,122618,14.57,3.802,0.255,,,,,,,0.1075,2.81,2.508,10.04
700,123045,15.01,0.31,516,1272,Gefion,123045,15.56,,,,,,,,,0.118,2.809,2.478,8.46
701,123232,15.59,0.03,516,1272,Gefion,123232,15.98,,,,,,,,,0.1491,2.785,2.37,8.16
702,123384,14.9,-0.7,516,1272,Gefion,123384,15.22,2.469,0.318,,,,,,,0.1519,2.732,2.317,10.64
703,123423,14.82,-0.66,516,1272,Gefion,123423,15.38,,,2.839,,,,,,0.1418,2.734,2.346,8.11
704,123471,14.93,-0.55,516,1272,Gefion,123471,15.39,2.816,0.223,96.5942,,,,,,0.133,2.741,2.377,9.93
705,123543,15.2,-0.03,516,1272,Gefion,123543,15.63,2.046,0.351,,,,,,,0.1411,2.78,2.388,8.06
706,123545,14.66,-0.18,516,1272,Gefion,123545,15.05,2.727,0.313,,,,,,,0.0989,2.772,2.498,8.16
707,123617,15.09,-0.67,516,1272,Gefion,123617,15.41,,,,,,,,,0.0872,2.728,2.49,8.02
708,123751,14.87,0.05,516,1272,Gefion,123751,15.34,2.555,0.325,6.44461,,,,,,0.1348,2.787,2.411,10.12
709,123753,14.47,-0.27,516,1272,Gefion,123753,14.94,,,,,,,,,0.0942,2.766,2.505,10.44
710,126700,15.24,-0.49,516,1272,Gefion,126700,15.64,,,,,,,,,0.1032,2.739,2.456,10.23
711,126955,15.02,-0.6,516,1272,Gefion,126955,15.45,,,,,,,,,0.1141,2.734,2.422,9.58
712,127017,15.09,-0.58,516,1272,Gefion,127017,15.54,,,,,,,,,0.0926,2.736,2.482,9.32
713,127097,14.98,0.13,516,1272,Gefion,127097,15.39,,,,,,,,,0.1528,2.793,2.367,9.98
714,127125,14.96,-0.57,516,1272,Gefion,127125,15.17,,,3.65,,,,,,0.0868,2.739,2.501,9.35
715,127128,15.26,0.04,516,1272,Gefion,127128,15.72,,,,,,,,,0.1232,2.785,2.442,10.05
716,127142,14.97,-0.93,516,1272,Gefion,127142,15.42,,,,,,,,,0.0967,2.711,2.449,9.96
717,127682,15.2,-0.06,516,1272,Gefion,127682,15.56,,,,,,,,,0.1016,2.782,2.499,8.6
718,128129,14.87,-0.35,516,1272,Gefion,128129,15.33,,,,,,,,,0.1151,2.756,2.439,8.31
719,128381,15.6,-0.4,516,1272,Gefion,128381,15.88,,,,,,,,,0.1546,2.742,2.318,8.4
720,128562,15.41,-0.09,516,1272,Gefion,128562,15.86,,,,,,,,,0.1207,2.775,2.44,8.01
721,128605,15.43,0.14,516,1272,Gefion,128605,15.7,,,,,,,,,0.1051,2.797,2.503,8.18
722,128690,15.12,-0.02,516,1272,Gefion,128690,15.48,,,,,,,,,0.1545,2.783,2.353,9.34
723,128730,15.39,0.17,516,1272,Gefion,128730,15.69,2.368,0.262,,,,,,,0.1431,2.799,2.398,9.18
724,130062,14.92,-0.13,516,1272,Gefion,130062,15.34,2.763,0.254,,,,,,,0.1126,2.775,2.462,8.44
725,130104,14.88,-0.3,516,1272,Gefion,130104,15.13,2.448,0.323,,,,,,,0.1097,2.762,2.459,8.13
726,130172,15.46,-0.52,516,1272,Gefion,130172,15.86,,,,,,,,,0.1453,2.734,2.337,10.24
727,131111,15.02,-0.64,516,1272,Gefion,131111,15.26,5.163,0.064,,,,,,,0.1354,2.733,2.363,9.28
728,131133,15.13,0.07,516,1272,Gefion,131133,15.71,,,,,,,,,0.122,2.79,2.449,7.33
729,131221,15.56,0.07,516,1272,Gefion,131221,15.87,,,,,,,,,0.098,2.792,2.519,8.92
730,131232,15.05,0.06,516,1272,Gefion,131232,15.27,,,,,,,,,0.1169,2.788,2.462,10.32
731,131273,14.8,-0.74,516,1272,Gefion,131273,15.19,3.125,0.198,,,,,,,0.1484,2.729,2.324,9.12
