,id,m,c_param,fam_num,par_num,name,pdes,H,diameter,albedo,rot_per,BV,UB,IR,spec_B,spec_T,e,a,q,i
136,25083,13.68,-0.18,516,1272,Gefion,25083,14.13,4.984,0.136,92.1482,,,,,,0.1275,2.777,2.423,8.16
137,25253,13.61,-0.45,516,1272,Gefion,25253,13.9,4.968,0.26,3.789,,,,,,0.1488,2.765,2.353,10.11
138,25487,13.61,-0.06,516,1272,Gefion,25487,13.94,4.835,0.25,75.4646,,,,,,0.0999,2.782,2.504,7.99
139,25524,14.08,-0.65,516,1272,Gefion,25524,14.39,4.265,0.128,,,,,,,0.1378,2.751,2.372,10.02
140,25723,13.92,-0.4,516,1272,Gefion,25723,14.25,,,6.35052,,,,,,0.1498,2.766,2.352,8.56
141,25727,13.79,-0.38,516,1272,Gefion,25727,14.14,4.455,0.117,38.9373,,,,,,0.0943,2.766,2.505,9.44
142,25898,13.83,-0.6,516,1272,Gefion,25898,14.24,,,,,,,,,0.1051,2.755,2.466,8.05
143,25978,13.91,-0.25,516,1272,Gefion,25978,14.36,4.399,0.251,5.68185,,,,,,0.0882,2.771,2.527,8.7
144,26099,13.96,-0.5,516,1272,Gefion,26099,14.35,4.142,0.236,,,,,,,0.1441,2.76,2.362,8.62
145,26478,13.91,-0.25,516,1272,Gefion,26478,14.26,4.75,0.213,,,,,,,0.0859,2.771,2.533,8.48
146,26511,13.6,-0.31,516,1272,Gefion,26511,13.97,4.736,0.314,,,,,,,0.1537,2.77,2.345,10.41
147,26586,13.13,-0.24,516,1272,Gefion,26586,13.42,5.792,0.252,,,,,,,0.1019,2.776,2.493,10.38
148,26697,13.76,-0.87,516,1272,Gefion,26697,14.04,4.335,0.259,,,,,,,0.0883,2.744,2.502,10.16
149,26745,13.86,0.19,516,1272,Gefion,26745,14.18,4.399,0.251,,,,,,,0.1263,2.794,2.441,10.07
150,26799,12.94,0.14,516,1272,Gefion,26799,13.27,4.836,0.435,,,,,,,0.1106,2.786,2.478,10.08
151,27116,14.16,-0.15,516,1272,Gefion,27116,14.55,,,,,,,,,0.0989,2.774,2.5,8.0
152,27127,13.54,-0.18,516,1272,Gefion,27127,13.87,4.299,0.263,,,,,,,0.138,2.775,2.392,10.15
153,27140,13.36,0.46,516,1272,Gefion,27140,13.76,5.669,0.263,44.6292,,,,,,0.0868,2.799,2.556,9.04
154,27414,13.19,0.7,516,1272,Gefion,27414,13.61,5.002,0.536,,,,,,,0.1012,2.809,2.525,10.15
155,27564,13.97,-0.57,516,1272,Gefion,27564,14.37,3.395,0.351,2.932,,,,,,0.0972,2.754,2.487,8.52
156,27678,14.26,-0.65,516,1272,Gefion,27678,14.7,4.337,0.196,,,,,,,0.0979,2.746,2.477,7.93
157,27941,14.32,0.29,516,1272,Gefion,27941,14.76,2.961,0.266,,,,,,,0.0847,2.802,2.564,9.77
158,28049,13.87,-0.9,516,1272,Gefion,28049,14.36,3.436,0.313,,,,,,,0.153,2.741,2.322,8.25
159,28380,13.0,0.86,516,1272,Gefion,28380,13.33,6.17,0.244,,,,,,,0.1369,2.809,2.424,8.56
160,28422,13.95,-0.54,516,1272,Gefion,28422,14.27,3.852,0.249,4.733,,,,,,0.0945,2.757,2.497,9.61
161,28743,12.91,-0.34,516,1272,Gefion,28743,13.21,5.778,0.366,,,,,,,0.1394,2.773,2.386,10.56
162,29038,13.44,0.42,516,1272,Gefion,29038,13.8,4.997,0.339,146.21,,,,,,0.1501,2.799,2.379,9.01
163,29043,13.47,-0.47,516,1272,Gefion,29043,13.77,4.705,0.29,,,,,,,0.1479,2.765,2.356,8.6
164,29113,14.77,-0.77,516,1272,Gefion,29113,15.17,,,,,,,,,0.133,2.729,2.366,8.67
165,29691,13.36,-0.45,516,1272,Gefion,29691,13.7,5.013,0.307,,,,,,,0.1019,2.766,2.484,9.95
166,29737,14.06,-0.47,516,1272,Gefion,29737,14.45,3.491,0.303,,,,,,,0.0941,2.759,2.5,9.6
167,29937,13.32,0.06,516,1272,Gefion,29937,13.79,4.793,0.279,,,,,,,0.1027,2.787,2.5,10.37
168,29974,13.72,-0.64,516,1272,Gefion,29974,14.13,,,,,,,,,0.0895,2.756,2.509,10.43
169,30163,13.48,0.21,516,1272,Gefion,30163,13.92,4.145,0.373,,,,,,,0.1134,2.792,2.475,9.25
170,30367,13.53,0.0,516,1272,Gefion,30367,13.88,4.475,0.32,,,,,,,0.0973,2.783,2.512,10.22
171,30421,14.15,0.27,516,1272,Gefion,30421,14.46,4.087,0.221,,,,,,,0.1165,2.797,2.471,9.71
172,30474,13.97,-0.43,516,1272,Gefion,30474,14.34,3.889,0.293,,,,,,,0.1436,2.763,2.366,10.43
173,30631,15.37,-0.38,516,1272,Gefion,30631,15.82,,,,,,,,,0.1255,2.749,2.404,9.0
174,30655,13.46,-0.27,516,1272,Gefion,30655,13.87,5.473,0.235,,,,,,,0.1045,2.773,2.484,9.28
175,30691,14.56,0.22,516,1272,Gefion,30691,14.96,3.22,0.296,,,,,,,0.101,2.798,2.516,9.53
176,30731,14.53,-0.42,516,1272,Gefion,30731,15.0,4.585,0.133,8.499,,,,,,0.1277,2.759,2.407,7.91
177,31224,14.02,-0.57,516,1272,Gefion,31224,14.32,,,,,,,,,0.1005,2.754,2.478,10.33
178,31557,14.22,-0.13,516,1272,Gefion,31557,14.69,3.287,0.312,,,,,,,0.1453,2.779,2.376,8.88
179,31612,14.43,0.15,516,1272,Gefion,31612,14.91,3.716,0.185,,,,,,,0.0848,2.793,2.556,9.17
180,31744,14.27,-0.47,516,1272,Gefion,31744,14.69,3.969,0.178,,,,,,,0.0883,2.759,2.516,8.6
181,31797,13.66,-0.48,516,1272,Gefion,31797,14.08,,,102.863,,,,,,0.1003,2.766,2.488,9.08
182,32161,13.62,-0.75,516,1272,Gefion,32161,14.0,4.121,0.414,,,,,,,0.1217,2.754,2.418,8.11
183,32343,13.47,-0.28,516,1272,Gefion,32343,13.91,,,,,,,,,0.0955,2.773,2.508,8.48
184,32371,13.9,-0.36,516,1272,Gefion,32371,14.37,,,,,,,,,0.1276,2.771,2.417,8.52
185,32535,15.01,-0.75,516,1272,Gefion,32535,15.3,,,6.695,,,,,,0.1404,2.723,2.341,8.63
186,32567,12.97,0.14,516,1272,Gefion,32567,13.24,6.4,0.248,20.0,,,,,,0.1225,2.786,2.445,8.43
187,32684,14.49,-0.33,516,1272,Gefion,32684,14.74,,,,,,,,,0.1332,2.764,2.396,8.9
188,32778,14.23,0.47,516,1272,Gefion,32778,14.65,,,,,,,,,0.101,2.813,2.529,8.4
189,33173,14.12,-0.81,516,1272,Gefion,33173,14.5,,,,,,,,,0.1137,2.74,2.428,9.58
190,33519,13.29,-0.18,516,1272,Gefion,33519,13.73,4.736,0.377,,,,,,,0.0946,2.777,2.514,8.0
191,33727,13.67,-1.06,516,1272,Gefion,33727,14.18,,,15.0494,,,,,,0.0898,2.737,2.492,9.82
